A,B,C
-0.683438192,7.194129934,7.964851633
0.18074214,7.523779126,7.874389181
2.206390463,3.41103008,1.948396491
5.900800191,1.806392097,1.84950019
4.436398764,1.913547467,?
1.591814134,7.645959289,6.426398227
2.1383454,3.413591625,1.006500946
7.657507871,7.200607833,3.680177394
1.09755895,2.186228781,1.024042473
5.304794796,1.337980036,0.708265644
8.319378498,6.517756752,2.61345083
8.305927797,6.133161767,3.393961011
5.569732481,1.109061219,0.467647319
1.963994939,3.501766449,1.180818013
0.818775827,7.350626962,8.321304032
6.092718335,0.680715421,5.126998634
7.388858852,0.356919442,4.70784323
0.018834469,7.535595738,7.462060893
8.49744797,4.743820224,2.418290259
0.981291244,7.611481547,8.12411272
7.663850546,5.774572313,1.924439591
0.865691259,8.810808273,7.793488721
1.730764119,8.014273068,6.046060581
5.347779904,2.19547779,2.116630581
5.371492557,3.234497282,2.012476225
1.895038314,7.516938948,7.146793012
-0.97929981,8.747910256,5.927256974
8.78541239,5.740134893,1.000475428
7.907110247,0.496817329,5.521503719
5.194615569,1.292576125,2.712607633
2.958347454,6.770450406,7.496699223
5.242238054,1.985482636,1.457778884
6.163357399,1.399801205,1.593353018
1.761171277,3.239489913,1.166831053
0.060096899,8.829474842,6.806173861
-1.211861911,9.533433701,5.576042848
-0.330313626,7.810879609,7.921650112
2.000582318,7.329379791,8.3924653
1.209659415,7.508363814,7.807122597
6.625265439,1.250917533,4.488330607
8.267565432,6.526835418,4.608163631
2.202490855,2.369558023,1.458930974
7.934279057,6.893836665,3.274180277
7.017913748,6.477920056,3.560938194
7.260473831,1.272411437,4.962815543
2.029104359,2.428514851,1.17889368
2.085786325,8.097983153,7.30805054
7.324229357,1.138104586,5.217916071
4.757810922,1.426926452,2.254159439
1.986743062,3.030115105,2.231621056
1.698007407,3.043294894,0.922161382
-1.530287523,7.713995778,8.100959635
6.800587155,0.820674173,4.830951788
8.010542402,0.120445174,5.569243631
7.395693654,5.510785758,1.874671123
2.005116531,2.509245674,1.231051737
2.187849009,2.699680655,0.854153125
3.276642672,1.983491057,3.063350958
5.071748221,1.416158635,2.717942901
5.55144589,1.825835273,2.160435388
7.796018226,7.203194391,0.879224153
1.734749426,2.71209088,0.862474151
4.87779575,1.473210448,1.503871788
7.37774665,5.111539324,4.401816355
7.646989098,0.290272833,5.059981013
2.04093707,4.157329283,0.066367404
7.530545295,1.479855417,6.294026183
2.932887256,3.23691646,0.404348251
5.925265972,3.203655733,3.236902146
2.00751369,7.315370174,7.790625599
4.362563883,2.256984258,1.887713441
3.943542345,2.452004973,2.228695031
8.594611275,6.136692351,2.852813331
1.862393472,8.953125045,7.51308542
2.129861251,2.547841687,1.319296229
1.990491896,2.498735318,0.990743432
1.674081946,3.023699336,0.569793317
1.223238914,7.945105999,7.285554075
1.695537758,8.849102111,6.706033052
4.779905353,1.764945111,1.446553889
8.748542715,7.017244076,3.577337651
0.973594243,8.280161159,6.19039648
2.57929779,2.589658841,1.481688065
3.061078099,3.51623263,0.240315017
7.272729924,0.392195088,5.37424036
-0.148794035,8.666312501,7.462591293
1.568004615,3.024260814,-0.584524942
2.618908156,2.202786171,0.700312489
3.094901467,2.595850857,0.580139079
6.863711893,-0.955068276,5.064226739
4.547949278,2.275983286,1.593370778
4.613870101,2.617976491,1.799134801
7.781821144,3.842490686,2.956564107
5.397728761,2.704084314,2.108612935
5.748645244,1.595905625,2.167396497
1.261250531,7.630722861,7.143388467
2.124110293,2.77031955,0.575077815
7.852078291,5.581821584,3.839207381
6.076526964,0.857913554,4.439973005
2.280392263,3.541525622,1.526901026
6.299001407,1.613889062,2.556704077
7.22130917,1.328487313,3.925099514
8.21726307,4.978601139,2.135154768
7.258113203,1.275658109,3.650629194
7.433798012,0.555246328,4.167233339
1.487872285,9.80434811,6.809096208
1.794061517,2.756196888,0.783720906
5.433238137,-0.484490107,4.575194375
6.228395495,1.476951657,5.286025115
6.978258747,0.363221608,4.344445538
6.866647826,1.22683992,4.196616027
0.346233661,7.404338706,8.374438093
2.789606408,3.383717365,0.765262807
1.152354872,7.177580068,8.121030667
5.069015647,1.903920323,2.402804046
1.546218169,2.711614335,1.377695613
6.671231253,6.343694575,3.16615015
7.711227067,6.927463843,2.135149338
2.039111787,7.924235713,7.670480617
2.761514928,2.882923313,0.882931522
1.942175859,2.849448152,0.260739005
6.689869185,0.664354923,5.207602882
5.084531748,0.938936381,2.193900629
6.049746046,1.253682059,1.584256881
4.738708178,2.307863479,1.844271993
7.658917407,0.277233268,5.278548935
-0.707357958,6.88347556,8.23581162
1.603187431,7.455885998,6.837207094
1.34776525,3.334836274,1.183299123
2.188913371,8.708303847,7.351448208
5.500117377,0.803758614,2.224433942
6.743445086,-0.192710111,4.352873808
1.650137246,3.106989955,0.943835975
6.604658197,1.714968307,6.461909941
5.199188198,2.114299808,2.42567109
7.022297753,6.570398744,2.807739681
2.148060139,3.130527636,1.002556728
7.030460268,1.39069766,3.229307946
7.509769048,5.689838752,3.228692313
8.560247904,5.539489739,3.097607852
6.534919571,1.661451441,2.110730782
1.585502495,2.71990948,1.373646803
5.529981445,1.437855612,5.619662038
7.477436446,2.041072309,4.593962731
2.252023258,2.734871191,0.603563584
6.352202762,1.178768629,4.373257574
6.76938655,1.512309493,5.23454062
2.256892975,3.257523843,2.926365745
4.60755459,0.901620262,2.30672156
5.479965141,1.030213635,1.367790549
-0.893614667,8.213293707,7.001205475
7.498426354,7.449958846,3.566201548
7.458886158,7.440752346,2.967873639
10.04806763,5.92315208,3.919418661
6.55789559,1.177215667,5.574240809
-1.562333659,7.808972237,9.412615422
1.80745886,2.661539,1.305838144
7.565260183,5.429723374,3.085144182
8.189970162,1.750080207,5.133444914
1.168654672,8.44194065,5.909600923
2.19265869,2.558071282,1.076862553
7.380968641,5.004276237,1.577023801
7.997117969,5.073308249,4.202718641
0.849039418,2.242404469,1.683437134
4.1254691,1.814474554,1.548706157
8.818056346,7.951801925,4.107418255
7.642853108,6.155271994,3.8589054
5.977037974,1.772523355,1.877851784
1.101856295,9.549020151,5.760892924
8.520160942,5.920659309,4.477309597
2.048538775,3.484322495,0.648973453
6.990313578,0.517190558,4.654814024
4.926951495,2.908069846,2.378487011
8.158079684,7.660208698,2.448649746
1.260280507,7.036241074,6.042849085
8.373811033,1.00258697,5.708024125
2.060209907,10.75966004,7.392415967
1.836168927,2.803945923,0.268242526
0.608351433,8.269126941,6.656807725
7.139867304,1.184814057,5.89064745
5.600627656,0.378060624,2.406725192
7.499549839,6.316642827,3.395224149
7.415255968,5.973498422,4.435646291
1.438475739,8.019616658,7.672861236
5.623942812,1.636630676,3.095605828
6.090293134,1.580812693,5.567977588
0.379152402,7.831856181,6.527909422
1.169239969,2.966960101,0.3944919
6.196215698,1.573144351,6.076552343
5.522778378,1.192412192,2.075827748
7.157267549,5.500984831,4.531225083
4.867247826,1.83391202,2.184444019
2.915729383,3.58972006,0.765412174
6.615310005,1.601711521,4.729008545
1.197315707,7.382348105,6.683927144
8.484807961,4.975656518,4.403835346
2.248357077,2.930867849,1.323844269
4.904882256,1.983617276,1.440039225
7.17878776,6.106375739,2.439903348
5.325978817,2.029316042,2.024355015
1.969457201,8.427194362,6.35377269
0.741203937,9.598647171,7.560919448
1.674678715,2.756437308,0.703803038
7.899370464,6.04457993,3.875353215
4.084606211,2.757550462,1.668885112
0.182911369,8.659245668,7.937570138
4.062085515,2.529865866,1.953297682
2.221909714,3.387317027,0.536534764
8.365402575,6.455813824,3.358166848
7.37735622,6.156676204,2.217301778
0.001939373,7.616028728,7.250200206
0.862628212,8.39046485,6.896778247
7.537745052,1.150777554,5.355788048
0.928400748,6.482126253,6.642970799
7.395224148,0.286234963,4.983513494
6.545164341,0.157759401,4.270568911
5.308160064,1.680379496,1.298049899
3.071972045,3.316959511,-0.012571293
4.599113549,3.123978666,2.648028839
6.06297594,1.485043036,4.575897425
7.922629511,5.564064731,3.319308891
8.337536603,7.290969015,3.362827441
8.213640213,6.711704636,3.065827191
4.937330469,1.898706966,2.042031298
7.543402965,5.334115542,3.377132445
1.828642742,2.598861365,0.919357144
1.890198411,9.035249335,5.153812138
0.370736606,9.53372771,6.464198537
4.54892537,1.744185442,2.689067426
7.979556743,6.938183215,3.434880124
4.612421493,1.520484796,1.710353887
9.922732468,5.953904962,3.160879237
0.686941969,7.999291405,5.749592266
6.127997836,1.038453878,4.503294102
7.436525048,4.873230963,1.754696661
2.178556286,3.738947022,0.740864891
7.97225209,6.187371786,4.240400394
7.792326919,4.797485638,2.803405549
0.791883143,7.871462489,5.118150955
4.721229622,2.120695794,2.169972723
7.059646615,-1.09379518,4.869172689
8.10468264,1.68981478,5.608408215
1.545987962,2.293848149,1.732824384
8.199506947,7.261962624,2.923763574
5.012762946,2.185299808,3.021328967
4.632938545,1.977777922,1.742418665
7.117128546,6.143915321,4.113601829
0.836933036,7.255097355,6.324821725
0.534689543,7.894051646,9.644343347
2.737678108,3.428829812,0.920030735
5.008812917,1.529061012,2.38896826
8.28278993,1.569906233,5.337446709
7.948689323,6.263009928,3.257085772
7.268092289,1.098879998,3.508603464
2.032546204,9.126705137,5.90903357
8.956037303,4.781450476,2.552862522
5.034207875,2.161155367,2.917081056
1.640777889,2.893276424,1.155453783
2.125246425,3.173224105,0.659987639
2.057837317,3.589648592,1.033759241
5.938350215,2.033854098,4.182554314
8.381632662,6.061457513,1.973606221
-0.027675141,9.265707841,6.133825152
6.855379918,6.102483532,2.455158674
7.597783184,1.29040585,5.324301971
8.797013456,5.604994733,1.754734481
4.665504929,1.178118212,1.947030771
-0.260164765,7.383638592,6.62480362
6.351311184,0.977992581,4.406099956
7.154378999,1.852571407,4.640762545
5.193018684,1.599145728,2.59522541
8.340366049,5.226419085,2.961830915
8.492748486,6.474481006,2.752362849
5.281264554,1.400968736,2.18107514
6.645977307,0.258764689,6.037164382
7.98069993,6.158467809,2.88451167
8.886546253,5.168075258,3.490219124
6.208378095,1.331542454,4.351533209
4.987179623,1.551672993,0.545455844
6.976471205,1.318318638,4.638499249
5.291900986,2.038684649,0.81472006
1.753499533,2.705317622,1.424801049
5.193847564,1.848587899,1.824913239
?,3.926139092,0.993251388
1.299074469,3.293428547,2.095227813
1.401061054,3.982362566,1.017631776
8.022654701,6.023804912,3.750627045
8.384807385,6.179107219,2.367620436
7.587164217,6.076896622,2.630179769
5.30834471,2.107749069,2.21037806
4.344612341,1.81015493,2.72785862
0.987911052,6.747606556,7.363631883
0.89674524,6.356811189,6.824145596
2.060147816,3.257219417,1.355807439
6.547825603,1.517795259,2.983470083
1.642348145,3.339798874,0.634816684
9.105727193,6.51896791,2.866305536
6.658957955,0.753655078,4.461002754
6.95676506,1.335609063,5.612161952
2.122483286,2.746528412,0.764480847
8.120241409,5.70911023,2.954443501
9.259189411,5.01938747,1.828500096
5.116764473,1.554517649,1.207986493
1.510618142,2.77785337,1.188650247
6.646028296,7.223640256,2.873593681
4.864112665,2.220419304,2.548150776
9.713816287,7.382034536,3.349058936
8.582103635,6.041556709,3.586112062
5.720248345,1.605863433,1.37185341
2.116126849,3.146536237,0.642824291
1.757882964,3.633455575,0.646165267
5.847332333,1.952215165,2.271423078
4.385487905,3.11245554,2.732620217
1.173341664,8.243953198,6.776797745
2.612220628,8.896839316,6.731469352
6.768084132,0.571434286,4.240394631
2.305185133,2.989549203,1.058663692
9.839118499,5.709729152,2.643597983
8.014747146,6.278065364,2.568192256
7.801985092,5.940453257,3.496537678
1.562190873,2.308600135,1.463088774
7.440670709,0.436978968,5.626748802
9.162707582,7.263657717,2.581711978
5.245891194,1.855245407,2.403544221
4.265421058,1.874586046,1.489687727
9.196835449,6.523492525,2.955532263
7.122647993,3.089681302,5.257237166
6.78052922,1.645261051,5.337881521
1.466358374,8.987334517,6.924048976
3.037700399,3.435562352,0.836988234
1.550792664,3.245959586,0.339883396
1.936041204,2.52222978,0.19677684
8.223154239,1.652534095,4.834411299
1.661419144,3.487559867,0.926471309
1.595753199,2.749121478,1.457701059
6.6316265,1.971836445,4.730484732
5.725019738,2.614437515,2.35551617
6.016367107,0.963316885,6.192873861
4.899726972,2.16954797,1.850785324
5.912789631,2.598986539,1.741027812
5.68918241,1.390506909,2.03700791
4.65168593,2.353147043,3.001942703
6.681122332,0.37753142,5.668710391
5.651537339,2.28481894,1.984983825
1.592094858,2.961449145,1.170575987
7.12297993,4.847959294,4.275604051
0.91656203,6.55035478,6.078140187
4.297932184,0.918811737,2.324877637
2.774967203,2.608373354,0.838969242
1.845393812,3.165631716,1.487772564
6.948236704,0.683838367,5.136517489
2.615582824,6.765651128,6.407535741
8.901252024,5.784889048,2.114779273
4.221900831,2.239812771,1.609185864
6.006620488,-1.667847055,2.341389848
6.555109511,2.217195946,4.775130064
7.181765948,5.79409877,1.665132741
6.417724454,0.952975197,4.498968008
2.395683811,7.437831973,6.790778126
2.343130095,2.193642064,0.764034067
5.067962246,1.137033213,2.551537361
8.030402783,6.096025061,3.490814378
4.908518098,2.424865206,2.57402139
5.293512278,2.380832881,2.665819905
-0.748531973,9.304340243,5.337508012
6.573987194,0.629715604,4.26040965
8.019075626,1.493154578,5.552339681
1.873715924,2.376108409,1.816205652
10.05868784,6.047374747,3.011143434
8.672514839,5.477900817,2.643053253
5.45610376,1.627946338,5.892412529
5.560591947,1.179872781,1.865140759
7.872824201,0.956597193,5.666014494
2.793008408,2.381092251,2.066516687
4.888827405,1.92210758,2.026286883
6.488367415,5.638154945,1.060896539
7.233701977,2.001956747,5.757236709
7.416520626,0.609803863,4.710901524
1.143432735,3.676936187,0.942730077
6.494783713,1.12377461,4.617323941
7.184441051,1.20595689,4.83591454
6.792374779,1.168925354,4.194290141
8.440041679,5.225324436,3.084300405
6.912182018,1.229515667,5.060125104
2.173124638,8.369642192,6.892697856
1.183849545,9.800511182,8.238946353
6.815586249,1.475399943,4.78856815
6.130767597,1.233923492,4.891318666
?,3.312059909,1.314172755
0.473965157,5.84665708,8.097152712
3.820186046,3.233724278,1.338074981
7.856498218,1.767528464,4.562025899
7.840055269,0.655668287,3.686413106
0.691965716,8.779660532,8.310308746
1.504731837,2.716851135,1.049825683
5.511664205,2.29083969,1.492186007
8.39654551,6.120335124,3.291968802
1.496991309,2.392905694,1.579055437
0.816803381,8.534505648,7.887655426
8.3017695,7.252419223,2.947399791
5.928224748,1.359978329,5.400440209
7.244755033,-0.09536194,5.06674094
2.485785475,3.322687975,1.684315779
7.270765964,1.763686298,6.408589312
8.75261695,5.214010085,2.82029348
6.765403553,1.239636484,6.087912295
1.898903674,2.891159398,1.549388426
7.190046718,1.386033393,5.238412451
1.376409526,7.097948446,6.130336919
2.112046241,3.0062962,1.048838049
5.964407346,2.294584971,2.440926672
4.522384486,2.645604283,2.012786989
8.950714619,8.021545941,2.575304982
2.235782192,6.92894632,7.680216105
7.32038061,-0.92325339,4.650188877
0.305286869,7.590717562,6.475911602
4.097167776,2.456033578,2.049463852
4.816865177,1.634292679,1.887817218
7.104264084,4.964254819,3.92866143
8.103376946,6.087515836,3.580613299
6.798786736,1.201130233,4.968141428
5.251411406,1.576992887,1.966538553
2.202025428,3.943092951,1.087288906
6.809841423,2.171416463,5.938322736
6.79343706,1.683071704,5.642918111
7.454412602,5.198703992,2.775119766
2.422369862,9.738899664,7.978858051
8.266514445,0.847367873,4.40665625
7.201316767,6.787457919,2.828808925
1.69882842,8.420972944,7.492018848
7.612891333,5.743722153,3.339332757
1.8895152,3.30708335,1.378753855
4.682568394,2.476558808,1.247426346
4.559245054,1.513848538,2.120341518
1.155190684,8.825098265,6.132869784
1.546284248,8.00642227,6.563614109
2.108229295,3.02278592,0.674199826
7.383085358,1.384218685,4.821530945
5.185892426,2.380266129,2.248279458
4.895024146,1.546552904,2.321905906
1.650450093,6.496919698,8.051947618
7.210775137,1.128684161,6.885123565
1.903819518,3.150773671,0.982644115
4.569906608,0.88007803,1.950391588
5.530427238,2.442106338,1.831203466
6.714329413,0.302929224,5.455795369
1.613587393,2.881590697,0.757318226
7.053168688,1.519877693,5.337574267
2.901190686,7.939339186,6.291593233
8.567203006,5.928211445,4.152093772
0.189142489,6.742422141,6.765980141
2.155625077,4.539440404,1.559787456
2.101731818,2.621824627,0.288873145
8.314788308,6.716154576,3.508137441
5.101076586,2.790558521,1.396074461
2.140149039,9.580540687,5.984905808
7.324244404,0.043003535,5.593721949
5.321991652,2.711422493,2.431371986
2.583891031,3.127210422,1.168801331
-0.607559864,7.237275221,6.23085765
1.8389405,7.382746813,6.441698246
8.378077986,6.204823787,3.786152787
5.334996148,2.045603235,2.323253595
6.912115087,6.597002853,3.516387345
5.683927137,2.79026904,1.929158884
8.840523517,6.884420746,3.949624244
7.721078292,5.720593837,2.742691959
0.642554577,7.819608318,8.372848475
5.359957238,2.918450499,2.731257111
0.546751591,9.452467534,7.326744765
6.397238463,1.982358979,5.488532291
9.748366395,-0.458879058,6.207287655
0.486786434,7.771400085,6.005650625
2.72078431,1.76417775,0.601552372
-0.502970328,8.253739661,7.467693172
7.320870692,-0.460918913,4.590767589
2.489863439,6.399096022,6.171502975
-0.443854816,5.703819047,6.449463151
4.927431111,2.251719466,1.467504693
0.933867385,10.09972179,6.752974299
6.054247944,0.07427943,5.337306243
9.477365861,6.467142548,2.712566327
6.956466288,1.787047352,4.766145938
4.356716593,0.24718971,2.261935882
2.297578513,2.590889658,2.046193638
8.807853671,5.449479724,4.801948644
1.447716926,6.429123848,5.873232531
5.969225414,1.806607718,2.730295112
8.514178208,7.063322024,3.157216936
7.63289259,6.862944667,2.969193224
-0.352670286,6.477640814,8.112688375
-0.193925006,8.142943095,8.732514999
8.223217221,6.486317208,3.149287299
4.911798799,2.57832747,3.326313801
7.421482824,1.050425803,4.851453721
8.203564534,2.394760747,4.463340389
8.41826839,5.541039997,2.980516326
1.620433669,3.075196893,1.170877988
1.970237322,1.37936633,0.487806179
2.162083176,2.934928473,1.048497982
5.756627567,0.943580175,4.41686076
5.446489739,0.839140259,4.404015496
9.02276149,6.152879254,3.037149239
1.640077896,2.769680615,1.528561113
1.120630257,2.408370744,-0.019616089
7.697801141,1.196445483,6.231034339
6.970023633,1.040615914,5.593901618
2.93808542,3.475211919,0.711548172
1.437678954,2.232942915,1.638838411
1.472406278,9.484116029,7.355613349
0.028343265,6.620381835,6.373282775
2.417846056,2.435146573,1.264902089
0.970737186,9.126050251,6.948606276
9.388771043,6.158328627,2.478865597
7.640773193,0.615321808,4.918263859
2.600606961,2.795962313,-0.019062268
1.431922545,8.800409525,7.75429133
7.151742895,0.231888231,4.587793221
7.939033141,0.480261037,4.660285915
7.326669687,2.064704359,4.335758435
5.489442328,2.516284093,1.650153537
1.522514105,8.418398221,8.401598593
1.14830878,2.972226151,1.192032724
4.359318247,2.570184555,3.026368024
2.00262185,3.023490297,0.774967264
0.788869761,7.012820473,6.868743033
0.865720838,9.422748136,7.926215402
1.62157189,7.630389664,7.377100394
4.852362507,1.494052043,3.30256563
8.117370949,6.965207173,2.346451463
8.391093199,1.637953906,5.074027654
5.967366955,2.788948672,2.983978718
3.231300146,8.638051101,7.500844475
5.459648167,2.736159934,1.939907554
6.37345111,1.418059753,4.336156397
7.273487145,0.07146951,5.733122395
6.449809777,0.033268778,?
1.727808638,3.055461295,0.424503211
1.983652626,1.96627895,0.95543998
5.033989955,2.317815653,1.957700733
5.937978412,1.525405417,4.708663917
0.733347671,7.57075558,7.58855327
0.495820169,7.918477327,7.347676484
5.697126982,1.443588119,2.14302139
5.591437997,2.712431631,3.553738185
8.73306214,6.277190781,3.798408088
7.357554462,1.72140641,4.539515812
7.541070394,5.562512847,2.973797384
5.11522947,1.814530121,2.080124543
7.374372135,1.860286352,4.553884577
1.882706433,2.292314629,0.789677339
5.796916485,2.333738006,2.273532663
1.468848143,3.236796215,0.540287883
1.457772866,9.674492433,6.994403981
6.465699727,1.026556485,5.478330295
8.873205482,6.996868154,1.341287814
7.631594022,0.364570674,6.063498747
6.413916298,0.574487318,4.622614108
1.947526462,7.227122332,7.407052287
7.490090298,6.951213225,4.136403398
7.555840379,7.504925656,1.84158888
2.045880388,2.006215543,0.890164056
2.038684154,2.569357899,1.761562039
1.242576388,2.776742524,1.428199397
1.760412881,2.907170512,0.446832513
6.853480326,1.751084633,6.654710746
5.406755523,1.707253155,3.294384928
4.460919211,2.016908694,1.994528602
-0.598124352,8.462172666,9.024309623
7.096758583,5.580383787,3.391499649
2.316390933,4.135346429,1.090933128
7.585910961,6.179030361,2.986861683
6.622810701,0.294011721,3.626162016
1.613495108,3.012255087,1.248999146
1.807722228,3.503146405,0.711554065
2.285445255,3.56778282,1.477000882
8.441991964,6.179131307,4.091312344
7.238035906,1.399429098,5.677729262
7.613232755,2.030869473,4.577213562
5.154976583,1.002362855,5.229474821
1.049773687,8.007063159,6.339678861
1.424061044,7.526160653,6.985547729
1.284929311,2.779977757,1.065370289
4.51809263,2.895613141,1.837325839
6.907969183,1.57823302,4.694265034
6.208032349,2.081921199,1.780807069
8.394654321,6.147868899,2.313313776
2.236618812,2.963585544,0.576603141
2.171809145,2.118479922,1.162041985
3.726887061,1.635306808,2.778196728
6.740644331,0.016103087,5.010932834
1.471144536,3.411272456,0.389578175
7.349904887,0.020485678,5.257354505
0.099379265,8.638391926,6.671381524
8.667137724,6.367344063,2.943867431
8.094022138,0.808204843,4.829631214
5.026161468,3.017030624,1.626410383
8.231334915,7.964240112,2.489808013
5.304701454,2.322977647,2.643504402
1.239246864,10.07408267,6.080615408
9.438149221,6.512674289,2.543056808
-0.071857233,6.446241234,7.817889658
0.844101822,7.451712704,7.160018226
8.405819225,6.853339752,3.935436472
9.730603779,5.753777412,3.175320262
6.790113263,2.332895613,6.138171241
5.233147163,3.49579971,1.996357453
8.094389351,0.427099934,6.072657407
7.842920121,5.942718992,2.970222211
8.488468596,6.447832358,3.86462458
1.089580681,7.80266158,6.848726716
7.05867864,1.987321402,5.286833957
4.682829991,2.351818411,2.742969843
-0.776235233,8.408652811,5.970628492
8.246241415,4.631865286,1.921451662
8.166706246,4.366612105,2.802258094
2.328276804,2.512659165,1.393542302
2.259673257,3.766369457,0.945619926
7.550026579,6.505926191,3.77804356
5.65158927,1.678421933,2.484834679
6.469202552,0.208569266,5.435897857
-0.111457957,8.246504778,7.498221748
5.417832468,2.573183125,2.053044132
0.341883511,7.696273971,5.654129077
6.963936982,5.731372241,4.33521722
6.208951463,0.684990999,5.880004452
5.191504706,2.804270268,0.874896518
5.04019443,2.309563531,1.062472486
5.882702196,1.874405794,1.598556357
2.178507743,2.653545202,1.449799938
1.604515326,8.882333062,6.547909667
2.653571377,2.196258383,1.092316929
2.116024969,2.275957829,0.296268113
7.598167659,0.23564627,5.623173251
8.458066225,7.119484349,3.739706946
2.99566749,11.10991856,7.606723059
-0.801057734,7.4573262,6.212216248
8.510984178,5.08559607,4.306745226
6.208857393,2.688173673,6.061475839
7.548737095,4.975756481,3.697965863
6.968212147,1.017771894,3.656228791
6.877105238,1.468058363,5.068647278
2.661470166,8.020886488,7.230700906
5.824195127,1.917530891,2.571724728
1.98208698,3.782321828,-0.309872552
6.600754044,-0.27442231,5.189040151
5.682995697,7.670699764,2.888328297
6.976338427,5.500145138,3.02087284
5.427177466,0.575309794,5.147898585
7.960429032,6.539855594,2.101822383
2.164375555,2.735119898,1.256633717
3.023606219,8.006799845,6.809960965
